Field name	Description	Type	Versions
fix.Account	Account (1)	Character string	1.0.0 to 4.2.3
fix.AccountType	AccountType (581)	Character string	1.0.0 to 4.2.3
fix.AccruedInterestAmt	AccruedInterestAmt (159)	Character string	1.0.0 to 4.2.3
fix.AccruedInterestRate	AccruedInterestRate (158)	Character string	1.0.0 to 4.2.3
fix.AcctIDSource	AcctIDSource (660)	Character string	1.2.0 to 4.2.3
fix.Adjustment	Adjustment (334)	Character string	1.0.0 to 4.2.3
fix.AdjustmentType	AdjustmentType (718)	Character string	1.2.0 to 4.2.3
fix.AdvId	AdvId (2)	Character string	1.0.0 to 4.2.3
fix.AdvRefID	AdvRefID (3)	Character string	1.0.0 to 4.2.3
fix.AdvSide	AdvSide (4)	Character string	1.0.0 to 4.2.3
fix.AdvTransType	AdvTransType (5)	Character string	1.0.0 to 4.2.3
fix.AffectedOrderID	AffectedOrderID (535)	Character string	1.0.0 to 4.2.3
fix.AffectedSecondaryOrderID	AffectedSecondaryOrderID (536)	Character string	1.0.0 to 4.2.3
fix.AffirmStatus	AffirmStatus (940)	Character string	1.2.0 to 4.2.3
fix.AggregatedBook	AggregatedBook (266)	Character string	1.0.0 to 4.2.3
fix.AggressorIndicator	AggressorIndicator (1057)	Character string	1.10.0 to 4.2.3
fix.AgreementCurrency	AgreementCurrency (918)	Character string	1.2.0 to 4.2.3
fix.AgreementDate	AgreementDate (915)	Character string	1.2.0 to 4.2.3
fix.AgreementDesc	AgreementDesc (913)	Character string	1.2.0 to 4.2.3
fix.AgreementID	AgreementID (914)	Character string	1.2.0 to 4.2.3
fix.AllocAccount	AllocAccount (79)	Character string	1.0.0 to 4.2.3
fix.AllocAccountType	AllocAccountType (798)	Character string	1.2.0 to 4.2.3
fix.AllocAccruedInterestAmt	AllocAccruedInterestAmt (742)	Character string	1.2.0 to 4.2.3
fix.AllocAcctIDSource	AllocAcctIDSource (661)	Character string	1.2.0 to 4.2.3
fix.AllocAvgPx	AllocAvgPx (153)	Character string	1.0.0 to 4.2.3
fix.AllocCancReplaceReason	AllocCancReplaceReason (796)	Character string	1.2.0 to 4.2.3
fix.AllocClearingFeeIndicator	AllocClearingFeeIndicator (1136)	Character string	1.10.0 to 4.2.3
fix.AllocCustomerCapacity	AllocCustomerCapacity (993)	Character string	1.10.0 to 4.2.3
fix.AllocHandlInst	AllocHandlInst (209)	Character string	1.0.0 to 4.2.3
fix.AllocID	AllocID (70)	Character string	1.0.0 to 4.2.3
fix.AllocInterestAtMaturity	AllocInterestAtMaturity (741)	Character string	1.2.0 to 4.2.3
fix.AllocIntermedReqType	AllocIntermedReqType (808)	Character string	1.2.0 to 4.2.3
fix.AllocLinkID	AllocLinkID (196)	Character string	1.0.0 to 4.2.3
fix.AllocLinkType	AllocLinkType (197)	Character string	1.0.0 to 4.2.3
fix.AllocMethod	AllocMethod (1002)	Character string	1.10.0 to 4.2.3
fix.AllocNetMoney	AllocNetMoney (154)	Character string	1.0.0 to 4.2.3
fix.AllocNoOrdersType	AllocNoOrdersType (857)	Character string	1.2.0 to 4.2.3
fix.AllocPositionEffect	AllocPositionEffect (1047)	Character string	1.10.0 to 4.2.3
fix.AllocPrice	AllocPrice (366)	Character string	1.0.0 to 4.2.3
fix.AllocQty	AllocQty (80)	Character string	1.0.0 to 4.2.3
fix.AllocRejCode	AllocRejCode (88)	Character string	1.0.0 to 4.2.3
fix.AllocReportID	AllocReportID (755)	Character string	1.2.0 to 4.2.3
fix.AllocReportRefID	AllocReportRefID (795)	Character string	1.0.0 to 4.2.3
fix.AllocReportType	AllocReportType (794)	Character string	1.2.0 to 4.2.3
fix.AllocSettlCurrAmt	AllocSettlCurrAmt (737)	Character string	1.2.0 to 4.2.3
fix.AllocSettlCurrency	AllocSettlCurrency (736)	Character string	1.2.0 to 4.2.3
fix.AllocSettlInstType	AllocSettlInstType (780)	Character string	1.2.0 to 4.2.3
fix.AllocStatus	AllocStatus (87)	Character string	1.0.0 to 4.2.3
fix.AllocText	AllocText (161)	Character string	1.0.0 to 4.2.3
fix.AllocTransType	AllocTransType (71)	Character string	1.0.0 to 4.2.3
fix.AllocType	AllocType (626)	Character string	1.0.0 to 4.2.3
fix.AllowableOneSidednessCurr	AllowableOneSidednessCurr (767)	Character string	1.2.0 to 4.2.3
fix.AllowableOneSidednessPct	AllowableOneSidednessPct (765)	Character string	1.2.0 to 4.2.3
fix.AllowableOneSidednessValue	AllowableOneSidednessValue (766)	Character string	1.2.0 to 4.2.3
fix.AltMDSourceID	AltMDSourceID (817)	Character string	1.2.0 to 4.2.3
fix.ApplBegSeqNum	ApplBegSeqNum (1182)	Character string	1.10.0 to 4.2.3
fix.ApplEndSeqNum	ApplEndSeqNum (1183)	Character string	1.10.0 to 4.2.3
fix.ApplExtID	ApplExtID (1156)	Character string	1.10.0 to 4.2.3
fix.ApplID	ApplID (1180)	Character string	1.10.0 to 4.2.3
fix.ApplLastSeqNum	ApplLastSeqNum (1350)	Character string	1.10.0 to 4.2.3
fix.ApplNewSeqNum	ApplNewSeqNum (1399)	Character string	1.10.0 to 4.2.3
fix.ApplQueueAction	ApplQueueAction (815)	Character string	1.2.0 to 4.2.3
fix.ApplQueueDepth	ApplQueueDepth (813)	Character string	1.2.0 to 4.2.3
fix.ApplQueueMax	ApplQueueMax (812)	Character string	1.2.0 to 4.2.3
fix.ApplQueueResolution	ApplQueueResolution (814)	Character string	1.2.0 to 4.2.3
fix.ApplReportID	ApplReportID (1356)	Character string	1.10.0 to 4.2.3
fix.ApplReportType	ApplReportType (1426)	Character string	1.10.0 to 4.2.3
fix.ApplReqID	ApplReqID (1346)	Character string	1.10.0 to 4.2.3
fix.ApplReqType	ApplReqType (1347)	Character string	1.10.0 to 4.2.3
fix.ApplResendFlag	ApplResendFlag (1352)	Character string	1.10.0 to 4.2.3
fix.ApplResponseError	ApplResponseError (1354)	Character string	1.10.0 to 4.2.3
fix.ApplResponseID	ApplResponseID (1353)	Character string	1.10.0 to 4.2.3
fix.ApplResponseType	ApplResponseType (1348)	Character string	1.10.0 to 4.2.3
fix.ApplSeqNum	ApplSeqNum (1181)	Character string	1.10.0 to 4.2.3
fix.ApplTotalMessageCount	ApplTotalMessageCount (1349)	Character string	1.10.0 to 4.2.3
fix.ApplVerID	ApplVerID (1128)	Character string	1.10.0 to 4.2.3
fix.AsgnReqID	AsgnReqID (831)	Character string	1.2.0 to 4.2.3
fix.AsgnRptID	AsgnRptID (833)	Character string	1.2.0 to 4.2.3
fix.AsOfIndicator	AsOfIndicator (1015)	Character string	1.10.0 to 4.2.3
fix.AssignmentMethod	AssignmentMethod (744)	Character string	1.2.0 to 4.2.3
fix.AssignmentUnit	AssignmentUnit (745)	Character string	1.2.0 to 4.2.3
fix.AttachmentPoint	AttachmentPoint (1457)	Character string	1.10.0 to 4.2.3
fix.AutoAcceptIndicator	AutoAcceptIndicator (754)	Character string	1.2.0 to 4.2.3
fix.AvgParPx	AvgParPx (860)	Character string	1.2.0 to 4.2.3
fix.AvgPrxPrecision	AvgPrxPrecision (74)	Character string	1.0.0 to 1.0.16
fix.AvgPx	AvgPx (6)	Character string	1.0.0 to 4.2.3
fix.AvgPxIndicator	AvgPxIndicator (819)	Character string	1.2.0 to 4.2.3
fix.AvgPxPrecision	AvgPxPrecision (74)	Character string	1.2.0 to 4.2.3
fix.BasisFeatureDate	BasisFeatureDate (259)	Character string	1.0.0 to 4.2.3
fix.BasisFeaturePrice	BasisFeaturePrice (260)	Character string	1.0.0 to 4.2.3
fix.BasisPxType	BasisPxType (419)	Character string	1.0.0 to 4.2.3
fix.BeginSeqNo	BeginSeqNo (7)	Character string	1.0.0 to 4.2.3
fix.BeginString	BeginString (8)	Character string	1.0.0 to 4.2.3
fix.Benchmark	Benchmark (219)	Character string	1.0.0 to 4.2.3
fix.BenchmarkCurveCurrency	BenchmarkCurveCurrency (220)	Character string	1.0.0 to 4.2.3
fix.BenchmarkCurveName	BenchmarkCurveName (221)	Character string	1.0.0 to 4.2.3
fix.BenchmarkCurvePoint	BenchmarkCurvePoint (222)	Character string	1.0.0 to 4.2.3
fix.BenchmarkPrice	BenchmarkPrice (662)	Character string	1.0.0 to 4.2.3
fix.BenchmarkPriceType	BenchmarkPriceType (663)	Character string	1.0.0 to 4.2.3
fix.BenchmarkSecurityID	BenchmarkSecurityID (699)	Character string	1.0.0 to 4.2.3
fix.BenchmarkSecurityIDSource	BenchmarkSecurityIDSource (761)	Character string	1.0.0 to 4.2.3
fix.BidDescriptor	BidDescriptor (400)	Character string	1.0.0 to 4.2.3
fix.BidDescriptorType	BidDescriptorType (399)	Character string	1.0.0 to 4.2.3
fix.BidForwardPoints	BidForwardPoints (189)	Character string	1.0.0 to 4.2.3
fix.BidForwardPoints2	BidForwardPoints2 (642)	Character string	1.0.0 to 4.2.3
fix.BidID	BidID (390)	Character string	1.0.0 to 4.2.3
fix.BidPx	BidPx (132)	Character string	1.0.0 to 4.2.3
fix.BidRequestTransType	BidRequestTransType (374)	Character string	1.0.0 to 4.2.3
fix.BidSize	BidSize (134)	Character string	1.0.0 to 4.2.3
fix.BidSpotRate	BidSpotRate (188)	Character string	1.0.0 to 4.2.3
fix.BidSwapPoints	BidSwapPoints (1065)	Character string	1.10.0 to 4.2.3
fix.BidTradeType	BidTradeType (418)	Character string	1.2.0 to 4.2.3
fix.BidType	BidType (394)	Character string	1.0.0 to 4.2.3
fix.BidYield	BidYield (632)	Character string	1.0.0 to 4.2.3
fix.BodyLength	BodyLength (9)	Character string	1.0.0 to 4.2.3
fix.BookingRefID	BookingRefID (466)	Character string	1.0.0 to 4.2.3
fix.BookingType	BookingType (775)	Character string	1.2.0 to 4.2.3
fix.BookingUnit	BookingUnit (590)	Character string	1.0.0 to 4.2.3
fix.BrokerOfCredit	BrokerOfCredit (92)	Character string	1.0.0 to 4.2.3
fix.BusinessRejectReason	BusinessRejectReason (380)	Character string	1.0.0 to 4.2.3
fix.BusinessRejectRefID	BusinessRejectRefID (379)	Character string	1.0.0 to 4.2.3
fix.BuyVolume	BuyVolume (330)	Character string	1.0.0 to 4.2.3
fix.CalculatedCcyLastQty	CalculatedCcyLastQty (1056)	Character string	1.10.0 to 4.2.3
fix.CancellationRights	CancellationRights (480)	Character string	1.0.0 to 4.2.3
fix.CapPrice	CapPrice (1199)	Character string	1.10.0 to 4.2.3
fix.CardExpDate	CardExpDate (490)	Character string	1.0.0 to 4.2.3
fix.CardHolderName	CardHolderName (488)	Character string	1.0.0 to 4.2.3
fix.CardIssNo	CardIssNo (491)	Character string	1.0.0 to 1.0.16
fix.CardIssNum	CardIssNum (491)	Character string	1.2.0 to 4.2.3
fix.CardNumber	CardNumber (489)	Character string	1.0.0 to 4.2.3
fix.CardStartDate	CardStartDate (503)	Character string	1.0.0 to 4.2.3
fix.CashDistribAgentAcctName	CashDistribAgentAcctName (502)	Character string	1.0.0 to 4.2.3
fix.CashDistribAgentAcctNumber	CashDistribAgentAcctNumber (500)	Character string	1.0.0 to 4.2.3
fix.CashDistribAgentCode	CashDistribAgentCode (499)	Character string	1.0.0 to 4.2.3
fix.CashDistribAgentName	CashDistribAgentName (498)	Character string	1.0.0 to 4.2.3
fix.CashDistribCurr	CashDistribCurr (478)	Character string	1.0.0 to 4.2.3
fix.CashDistribPayRef	CashDistribPayRef (501)	Character string	1.0.0 to 4.2.3
fix.CashMargin	CashMargin (544)	Character string	1.0.0 to 4.2.3
fix.CashOrderQty	CashOrderQty (152)	Character string	1.0.0 to 4.2.3
fix.CashOutstanding	CashOutstanding (901)	Character string	1.2.0 to 4.2.3
fix.CashSettlAgentAcctName	CashSettlAgentAcctName (185)	Character string	1.0.0 to 4.2.3
fix.CashSettlAgentAcctNum	CashSettlAgentAcctNum (184)	Character string	1.0.0 to 4.2.3
fix.CashSettlAgentCode	CashSettlAgentCode (183)	Character string	1.0.0 to 4.2.3
fix.CashSettlAgentContactName	CashSettlAgentContactName (186)	Character string	1.0.0 to 4.2.3
fix.CashSettlAgentContactPhone	CashSettlAgentContactPhone (187)	Character string	1.0.0 to 4.2.3
fix.CashSettlAgentName	CashSettlAgentName (182)	Character string	1.0.0 to 4.2.3
fix.CcyAmt	CcyAmt (1157)	Character string	1.10.0 to 4.2.3
fix.CFICode	CFICode (461)	Character string	1.0.0 to 4.2.3
fix.CheckSum	CheckSum (10)	Character string	1.0.0 to 4.2.3
fix.checksum_bad	Bad Checksum	Boolean	1.2.0 to 4.2.3
fix.checksum_bad.expert	Bad checksum	Label	1.12.0 to 4.2.3
fix.checksum_good	Good Checksum	Boolean	1.2.0 to 4.2.3
fix.ClearingAccount	ClearingAccount (440)	Character string	1.0.0 to 4.2.3
fix.ClearingBusinessDate	ClearingBusinessDate (715)	Character string	1.2.0 to 4.2.3
fix.ClearingFeeIndicator	ClearingFeeIndicator (635)	Character string	1.0.0 to 4.2.3
fix.ClearingFirm	ClearingFirm (439)	Character string	1.0.0 to 4.2.3
fix.ClearingInstruction	ClearingInstruction (577)	Character string	1.0.0 to 4.2.3
fix.ClientBidID	ClientBidID (391)	Character string	1.0.0 to 4.2.3
fix.ClientID	ClientID (109)	Character string	1.0.0 to 4.2.3
fix.ClOrdID	ClOrdID (11)	Character string	1.0.0 to 4.2.3
fix.ClOrdLinkID	ClOrdLinkID (583)	Character string	1.0.0 to 4.2.3
fix.CollAction	CollAction (944)	Character string	1.2.0 to 4.2.3
fix.CollApplType	CollApplType (1043)	Character string	1.10.0 to 4.2.3
fix.CollAsgnID	CollAsgnID (902)	Character string	1.2.0 to 4.2.3
fix.CollAsgnReason	CollAsgnReason (895)	Character string	1.2.0 to 4.2.3
fix.CollAsgnRefID	CollAsgnRefID (907)	Character string	1.2.0 to 4.2.3
fix.CollAsgnRejectReason	CollAsgnRejectReason (906)	Character string	1.2.0 to 4.2.3
fix.CollAsgnRespType	CollAsgnRespType (905)	Character string	1.2.0 to 4.2.3
fix.CollAsgnTransType	CollAsgnTransType (903)	Character string	1.2.0 to 4.2.3
fix.CollInquiryID	CollInquiryID (909)	Character string	1.2.0 to 4.2.3
fix.CollInquiryQualifier	CollInquiryQualifier (896)	Character string	1.2.0 to 4.2.3
fix.CollInquiryResult	CollInquiryResult (946)	Character string	1.2.0 to 4.2.3
fix.CollInquiryStatus	CollInquiryStatus (945)	Character string	1.2.0 to 4.2.3
fix.CollReqID	CollReqID (894)	Character string	1.2.0 to 4.2.3
fix.CollRespID	CollRespID (904)	Character string	1.2.0 to 4.2.3
fix.CollRptID	CollRptID (908)	Character string	1.2.0 to 4.2.3
fix.CollStatus	CollStatus (910)	Character string	1.2.0 to 4.2.3
fix.CommCurrency	CommCurrency (479)	Character string	1.0.0 to 4.2.3
fix.Commission	Commission (12)	Character string	1.0.0 to 4.2.3
fix.CommType	CommType (13)	Character string	1.0.0 to 4.2.3
fix.ComplexEventCondition	ComplexEventCondition (1490)	Character string	1.10.0 to 4.2.3
fix.ComplexEventEndDate	ComplexEventEndDate (1493)	Character string	1.10.0 to 4.2.3
fix.ComplexEventEndTime	ComplexEventEndTime (1496)	Character string	1.10.0 to 4.2.3
fix.ComplexEventPrice	ComplexEventPrice (1486)	Character string	1.10.0 to 4.2.3
fix.ComplexEventPriceBoundaryMethod	ComplexEventPriceBoundaryMethod (1487)	Character string	1.10.0 to 4.2.3
fix.ComplexEventPriceBoundaryPrecision	ComplexEventPriceBoundaryPrecision (1488)	Character string	1.10.0 to 4.2.3
fix.ComplexEventPriceTimeType	ComplexEventPriceTimeType (1489)	Character string	1.10.0 to 4.2.3
fix.ComplexEventStartDate	ComplexEventStartDate (1492)	Character string	1.10.0 to 4.2.3
fix.ComplexEventStartTime	ComplexEventStartTime (1495)	Character string	1.10.0 to 4.2.3
fix.ComplexEventType	ComplexEventType (1484)	Character string	1.10.0 to 4.2.3
fix.ComplexOptPayoutAmount	ComplexOptPayoutAmount (1485)	Character string	1.10.0 to 4.2.3
fix.ComplianceID	ComplianceID (376)	Character string	1.0.0 to 4.2.3
fix.Concession	Concession (238)	Character string	1.0.0 to 4.2.3
fix.ConfirmID	ConfirmID (664)	Character string	1.2.0 to 4.2.3
fix.ConfirmRefID	ConfirmRefID (772)	Character string	1.2.0 to 4.2.3
fix.ConfirmRejReason	ConfirmRejReason (774)	Character string	1.2.0 to 4.2.3
fix.ConfirmReqID	ConfirmReqID (859)	Character string	1.2.0 to 4.2.3
fix.ConfirmStatus	ConfirmStatus (665)	Character string	1.2.0 to 4.2.3
fix.ConfirmTransType	ConfirmTransType (666)	Character string	1.2.0 to 4.2.3
fix.ConfirmType	ConfirmType (773)	Character string	1.2.0 to 4.2.3
fix.ContAmtCurr	ContAmtCurr (521)	Character string	1.0.0 to 4.2.3
fix.ContAmtType	ContAmtType (519)	Character string	1.0.0 to 4.2.3
fix.ContAmtValue	ContAmtValue (520)	Character string	1.0.0 to 4.2.3
fix.ContextPartyID	ContextPartyID (1523)	Character string	1.10.0 to 4.2.3
fix.ContextPartyIDSource	ContextPartyIDSource (1524)	Character string	1.10.0 to 4.2.3
fix.ContextPartyRole	ContextPartyRole (1525)	Character string	1.10.0 to 4.2.3
fix.ContextPartySubID	ContextPartySubID (1527)	Character string	1.10.0 to 4.2.3
fix.ContextPartySubIDType	ContextPartySubIDType (1528)	Character string	1.10.0 to 4.2.3
fix.ContingencyType	ContingencyType (1385)	Character string	1.10.0 to 4.2.3
fix.ContIntRptID	ContIntRptID (977)	Character string	1.10.0 to 4.2.3
fix.ContraBroker	ContraBroker (375)	Character string	1.0.0 to 4.2.3
fix.ContractMultiplier	ContractMultiplier (231)	Character string	1.0.0 to 4.2.3
fix.ContractMultiplierUnit	ContractMultiplierUnit (1435)	Character string	1.10.0 to 4.2.3
fix.ContractSettlMonth	ContractSettlMonth (667)	Character string	1.2.0 to 4.2.3
fix.ContraLegRefID	ContraLegRefID (655)	Character string	1.0.0 to 4.2.3
fix.ContraryInstructionIndicator	ContraryInstructionIndicator (719)	Character string	1.2.0 to 4.2.3
fix.ContraTradeQty	ContraTradeQty (437)	Character string	1.0.0 to 4.2.3
fix.ContraTrader	ContraTrader (337)	Character string	1.0.0 to 4.2.3
fix.ContraTradeTime	ContraTradeTime (438)	Character string	1.0.0 to 4.2.3
fix.CopyMsgIndicator	CopyMsgIndicator (797)	Character string	1.2.0 to 4.2.3
fix.CorporateAction	CorporateAction (292)	Character string	1.0.0 to 4.2.3
fix.Country	Country (421)	Character string	1.0.0 to 4.2.3
fix.CountryOfIssue	CountryOfIssue (470)	Character string	1.0.0 to 4.2.3
fix.CouponPaymentDate	CouponPaymentDate (224)	Character string	1.0.0 to 4.2.3
fix.CouponRate	CouponRate (223)	Character string	1.0.0 to 4.2.3
fix.CoveredOrUncovered	CoveredOrUncovered (203)	Character string	1.0.0 to 4.2.3
fix.CPProgram	CPProgram (875)	Character string	1.2.0 to 4.2.3
fix.CPRegType	CPRegType (876)	Character string	1.2.0 to 4.2.3
fix.CreditRating	CreditRating (255)	Character string	1.0.0 to 4.2.3
fix.CrossID	CrossID (548)	Character string	1.0.0 to 4.2.3
fix.CrossPercent	CrossPercent (413)	Character string	1.0.0 to 4.2.3
fix.CrossPrioritization	CrossPrioritization (550)	Character string	1.0.0 to 4.2.3
fix.CrossType	CrossType (549)	Character string	1.0.0 to 4.2.3
fix.CstmApplVerID	CstmApplVerID (1129)	Character string	1.10.0 to 4.2.3
fix.CumQty	CumQty (14)	Character string	1.0.0 to 4.2.3
fix.Currency	Currency (15)	Character string	1.0.0 to 4.2.3
fix.CurrencyRatio	CurrencyRatio (1382)	Character string	1.10.0 to 4.2.3
fix.CustDirectedOrder	CustDirectedOrder (1029)	Character string	1.10.0 to 4.2.3
fix.CustomerOrFirm	CustomerOrFirm (204)	Character string	1.0.0 to 4.2.3
fix.CustOrderCapacity	CustOrderCapacity (582)	Character string	1.0.0 to 4.2.3
fix.CustOrderHandlingInst	CustOrderHandlingInst (1031)	Character string	1.10.0 to 4.2.3
fix.CxlQty	CxlQty (84)	Character string	1.0.0 to 4.2.3
fix.CxlRejReason	CxlRejReason (102)	Character string	1.0.0 to 4.2.3
fix.CxlRejResponseTo	CxlRejResponseTo (434)	Character string	1.0.0 to 4.2.3
fix.CxlType	CxlType (125)	Character string	1.0.0 to 4.2.3
fix.data	Continuation Data	Byte sequence	1.2.0 to 4.2.3
fix.DatedDate	DatedDate (873)	Character string	1.2.0 to 4.2.3
fix.DateOfBirth	DateOfBirth (486)	Character string	1.0.0 to 4.2.3
fix.DayAvgPx	DayAvgPx (426)	Character string	1.0.0 to 4.2.3
fix.DayBookingInst	DayBookingInst (589)	Character string	1.0.0 to 4.2.3
fix.DayCumQty	DayCumQty (425)	Character string	1.0.0 to 4.2.3
fix.DayOrderQty	DayOrderQty (424)	Character string	1.0.0 to 4.2.3
fix.DealingCapacity	DealingCapacity (1048)	Character string	1.10.0 to 4.2.3
fix.DefaultApplExtID	DefaultApplExtID (1407)	Character string	1.10.0 to 4.2.3
fix.DefaultApplVerID	DefaultApplVerID (1137)	Character string	1.10.0 to 4.2.3
fix.DefaultCstmApplVerID	DefaultCstmApplVerID (1408)	Character string	1.10.0 to 4.2.3
fix.DefaultVerIndicator	DefaultVerIndicator (1410)	Character string	1.10.0 to 4.2.3
fix.DefBidSize	DefBidSize (293)	Character string	1.0.0 to 4.2.3
fix.DefOfferSize	DefOfferSize (294)	Character string	1.0.0 to 4.2.3
fix.DeleteReason	DeleteReason (285)	Character string	1.0.0 to 4.2.3
fix.DeliverToCompID	DeliverToCompID (128)	Character string	1.0.0 to 4.2.3
fix.DeliverToLocationID	DeliverToLocationID (145)	Character string	1.0.0 to 4.2.3
fix.DeliverToSubID	DeliverToSubID (129)	Character string	1.0.0 to 4.2.3
fix.DeliveryDate	DeliveryDate (743)	Character string	1.2.0 to 4.2.3
fix.DeliveryForm	DeliveryForm (668)	Character string	1.2.0 to 4.2.3
fix.DeliveryType	DeliveryType (919)	Character string	1.2.0 to 4.2.3
fix.DerivativeCapPrice	DerivativeCapPrice (1321)	Character string	1.10.0 to 4.2.3
fix.DerivativeCFICode	DerivativeCFICode (1248)	Character string	1.10.0 to 4.2.3
fix.DerivativeContractMultiplier	DerivativeContractMultiplier (1266)	Character string	1.10.0 to 4.2.3
fix.DerivativeContractMultiplierUnit	DerivativeContractMultiplierUnit (1438)	Character string	1.10.0 to 4.2.3
fix.DerivativeContractSettlMonth	DerivativeContractSettlMonth (1285)	Character string	1.10.0 to 4.2.3
fix.DerivativeCountryOfIssue	DerivativeCountryOfIssue (1258)	Character string	1.10.0 to 4.2.3
fix.DerivativeEncodedIssuer	DerivativeEncodedIssuer (1278)	Character string	1.10.0 to 4.2.3
fix.DerivativeEncodedIssuerLen	DerivativeEncodedIssuerLen (1277)	Character string	1.10.0 to 4.2.3
fix.DerivativeEncodedSecurityDesc	DerivativeEncodedSecurityDesc (1281)	Character string	1.10.0 to 4.2.3
fix.DerivativeEncodedSecurityDescLen	DerivativeEncodedSecurityDescLen (1280)	Character string	1.10.0 to 4.2.3
fix.DerivativeEventDate	DerivativeEventDate (1288)	Character string	1.10.0 to 4.2.3
fix.DerivativeEventPx	DerivativeEventPx (1290)	Character string	1.10.0 to 4.2.3
fix.DerivativeEventText	DerivativeEventText (1291)	Character string	1.10.0 to 4.2.3
fix.DerivativeEventTime	DerivativeEventTime (1289)	Character string	1.10.0 to 4.2.3
fix.DerivativeEventType	DerivativeEventType (1287)	Character string	1.10.0 to 4.2.3
fix.DerivativeExerciseStyle	DerivativeExerciseStyle (1299)	Character string	1.10.0 to 4.2.3
fix.DerivativeFloorPrice	DerivativeFloorPrice (1322)	Character string	1.10.0 to 4.2.3
fix.DerivativeFlowScheduleType	DerivativeFlowScheduleType (1442)	Character string	1.10.0 to 4.2.3
fix.DerivativeInstrAttribType	DerivativeInstrAttribType (1313)	Character string	1.10.0 to 4.2.3
fix.DerivativeInstrAttribValue	DerivativeInstrAttribValue (1314)	Character string	1.10.0 to 4.2.3
fix.DerivativeInstrmtAssignmentMethod	DerivativeInstrmtAssignmentMethod (1255)	Character string	1.10.0 to 4.2.3
fix.DerivativeInstrRegistry	DerivativeInstrRegistry (1257)	Character string	1.10.0 to 4.2.3
fix.DerivativeInstrumentPartyID	DerivativeInstrumentPartyID (1293)	Character string	1.10.0 to 4.2.3
fix.DerivativeInstrumentPartyIDSource	DerivativeInstrumentPartyIDSource (1294)	Character string	1.10.0 to 4.2.3
fix.DerivativeInstrumentPartyRole	DerivativeInstrumentPartyRole (1295)	Character string	1.10.0 to 4.2.3
fix.DerivativeInstrumentPartySubID	DerivativeInstrumentPartySubID (1297)	Character string	1.10.0 to 4.2.3
fix.DerivativeInstrumentPartySubIDType	DerivativeInstrumentPartySubIDType (1298)	Character string	1.10.0 to 4.2.3
fix.DerivativeIssueDate	DerivativeIssueDate (1276)	Character string	1.10.0 to 4.2.3
fix.DerivativeIssuer	DerivativeIssuer (1275)	Character string	1.10.0 to 4.2.3
fix.DerivativeListMethod	DerivativeListMethod (1320)	Character string	1.10.0 to 4.2.3
fix.DerivativeLocaleOfIssue	DerivativeLocaleOfIssue (1260)	Character string	1.10.0 to 4.2.3
fix.DerivativeMaturityDate	DerivativeMaturityDate (1252)	Character string	1.10.0 to 4.2.3
fix.DerivativeMaturityMonthYear	DerivativeMaturityMonthYear (1251)	Character string	1.10.0 to 4.2.3
fix.DerivativeMaturityTime	DerivativeMaturityTime (1253)	Character string	1.10.0 to 4.2.3
fix.DerivativeMinPriceIncrement	DerivativeMinPriceIncrement (1267)	Character string	1.10.0 to 4.2.3
fix.DerivativeMinPriceIncrementAmount	DerivativeMinPriceIncrementAmount (1268)	Character string	1.10.0 to 4.2.3
fix.DerivativeNTPositionLimit	DerivativeNTPositionLimit (1274)	Character string	1.10.0 to 4.2.3
fix.DerivativeOptAttribute	DerivativeOptAttribute (1265)	Character string	1.10.0 to 4.2.3
fix.DerivativeOptPayAmount	DerivativeOptPayAmount (1225)	Character string	1.10.0 to 4.2.3
fix.DerivativePositionLimit	DerivativePositionLimit (1273)	Character string	1.10.0 to 4.2.3
fix.DerivativePriceQuoteMethod	DerivativePriceQuoteMethod (1318)	Character string	1.10.0 to 4.2.3
fix.DerivativePriceUnitOfMeasure	DerivativePriceUnitOfMeasure (1315)	Character string	1.10.0 to 4.2.3
fix.DerivativePriceUnitOfMeasureQty	DerivativePriceUnitOfMeasureQty (1316)	Character string	1.10.0 to 4.2.3
fix.DerivativeProduct	DerivativeProduct (1246)	Character string	1.10.0 to 4.2.3
fix.DerivativeProductComplex	DerivativeProductComplex (1228)	Character string	1.10.0 to 4.2.3
fix.DerivativePutOrCall	DerivativePutOrCall (1323)	Character string	1.10.0 to 4.2.3
fix.DerivativeSecurityAltID	DerivativeSecurityAltID (1219)	Character string	1.10.0 to 4.2.3
fix.DerivativeSecurityAltIDSource	DerivativeSecurityAltIDSource (1220)	Character string	1.10.0 to 4.2.3
fix.DerivativeSecurityDesc	DerivativeSecurityDesc (1279)	Character string	1.10.0 to 4.2.3
fix.DerivativeSecurityExchange	DerivativeSecurityExchange (1272)	Character string	1.10.0 to 4.2.3
fix.DerivativeSecurityGroup	DerivativeSecurityGroup (1247)	Character string	1.10.0 to 4.2.3
fix.DerivativeSecurityID	DerivativeSecurityID (1216)	Character string	1.10.0 to 4.2.3
fix.DerivativeSecurityIDSource	DerivativeSecurityIDSource (1217)	Character string	1.10.0 to 4.2.3
fix.DerivativeSecurityListRequestType	DerivativeSecurityListRequestType (1307)	Character string	1.10.0 to 4.2.3
fix.DerivativeSecurityStatus	DerivativeSecurityStatus (1256)	Character string	1.10.0 to 4.2.3
